s,x,y1,y2
1,-70,-12,-7
2,-70,-17,-8
3,-70,-20,-5
4,-70,-5,-4
5,-70,-11,-6
1,-65,-10,-5
2,-65,-12,-6
3,-65,-16,-3
4,-65,-3,-2.5
5,-65,-8,-4
1,-60,-5,-2.5
2,-60,-5,-2.5
3,-60,-7,-2
4,-60,2,-2
5,-60,-1,-1
1,-55,-2,5
2,-55,1,3
3,-55,0,1
4,-55,-1,1
5,-55,2,2
1,-50,6,12
2,-50,5,8
3,-50,8,7
4,-50,3,5
5,-50,9,10
