s,x,y
1,1,3.965566158
2,1,1.468270779
3,1,1.311309934
4,1,1.832504511
5,1,3.437252998
6,1,2.09983871
7,1,1.906993866
8,1,2.89255476
1,2,0.449741
2,2,0.46305
3,2,0.21
4,2,1.18672
5,2,0.70516
6,2,1.20278
7,2,0.661969864
8,2,0.703396916
