s,x,y1,y2
1,1,3.52974,1.34613
2,1,4.60126,0.423218
3,1,1.22642,0.998423
4,1,0.550579,4.30136
1,2,0.268709,0.200555
2,2,0.41336,0.202889
3,2,0.0559412,0.06212
4,2,0.0924792,0.418638
